Crop,Month,Previous_Price,Current_Price,Next_Week_Price
Rice,4,57.28,53.84,51.86
Pumpkin,10,57.12,58.46,59.45
Cucumber,7,22.07,18.98,17.57
Cauliflower,8,21.55,23.74,24.97
Cucumber,1,23.06,26.52,28.83
Tomato,7,55.9,59.15,60.98
Cucumber,9,28.21,24.3,22.18
Potato,7,13.73,16.46,17.8
Tomato,2,38.37,36.02,34.17
Cauliflower,8,52.31,50.05,49.07
Ginger,7,158.5,140.23,131.5
Garlic,3,213.37,239.63,251.76
Cabbage,3,26.95,26.32,25.94
Cabbage,5,27.89,28.5,28.73
Tomato,12,32.87,30.82,30.17
Rice,9,48.58,43.94,40.33
Carrot,3,37.98,34.29,31.85
Okra,11,87.22,93.77,98.55
Potato,12,22.66,26.87,30.14
GreenChilli,12,135.46,134.73,134.46
Rice,10,92.32,110.34,116.18
Carrot,1,67.17,62.39,59.05
Beans,8,40.94,37.23,35.47
Cucumber,8,16.51,16.31,16.24
Tomato,10,86.56,91.68,93.61
Rice,11,106.04,104.05,103.35
Cucumber,7,11.52,12.3,12.78
Onion,3,16.49,16.29,16.14
Garlic,2,94.02,89.02,86.22
Brinjal,8,14.15,15.45,16.2
Brinjal,5,47.04,43.84,42.03
Okra,1,62.81,58.93,56.72
Rice,3,58.83,57.17,56.58
Cucumber,4,26.86,26.23,25.75
GreenChilli,4,45.8,53.08,58.59
Ginger,5,81.61,89.44,92.71
Onion,12,61.73,71.08,75.5
Pumpkin,6,22.55,26.64,29.68
Potato,2,25.38,29.34,31.76
BitterGourd,12,61.57,56.98,53.62
Ginger,5,69.96,65.05,61.73
Garlic,11,309.39,331.01,345.92
Garlic,11,251.57,241.65,237.94
Garlic,11,269.15,230.79,213.86
Carrot,8,41.8,49.62,54.38
Pumpkin,12,39.84,45.1,48.28
Ginger,10,68.4,75.95,80.14
Rice,2,55.15,60.49,62.24
BitterGourd,10,75.81,70.47,68.05
Cabbage,11,17.83,18.11,18.32
Potato,2,10.49,9.05,7.93
Cucumber,7,16.07,16.91,17.21
Brinjal,2,36.12,31.33,27.66
Rice,6,54.15,58.88,62.11
Ginger,4,147.22,164.53,174.09
Okra,9,27.4,31.98,34.96
Garlic,4,234.04,218.9,208.11
Ginger,5,88.52,92.99,96.05
Cabbage,11,66.25,77.37,86.23
Pumpkin,2,40.54,35.16,32.12
Brinjal,12,51.82,53.16,54.15
Tomato,7,46.31,48.84,49.86
Rice,8,31.77,28.85,27.13
Brinjal,10,57.98,55.5,54.34
Ginger,3,59.56,69.42,74.08
Rice,2,32.08,29.41,28.6
Cauliflower,3,33.02,29.13,26.15
Potato,1,9.91,10.59,10.82
Beans,10,76.95,71.84,70.1
Cabbage,7,13.87,12.86,12.51
Tomato,4,25.43,25.43,25.43
Cauliflower,5,50.13,56.16,58.58
Carrot,7,34.68,36.51,37.57
Cauliflower,12,48.71,54.92,57.04
GreenChilli,10,65.42,73.12,78.09
Garlic,9,242.1,208.47,186.92
BitterGourd,7,36.86,31.5,27.47
Potato,8,8.36,8.6,8.7
Garlic,5,145.09,130.28,122.05
Tomato,12,33.65,30.55,28.75
Cabbage,10,46.55,47.1,47.48
Ginger,10,93.81,104.59,110.24
Pumpkin,8,19.13,22.18,23.69
Brinjal,1,41.12,37.91,36.42
BitterGourd,4,54.79,52.05,50.59
Potato,4,15.0,13.87,13.1
Cabbage,2,42.14,49.16,51.46
Cucumber,6,19.04,20.1,20.53
Tomato,3,34.0,37.37,40.03
BitterGourd,4,83.2,98.44,107.93
Garlic,9,152.32,178.07,188.19
Okra,10,34.83,30.24,28.21
Potato,6,9.55,8.9,8.5
Cucumber,5,26.12,29.68,31.37
GreenChilli,9,122.23,143.89,151.11
Cucumber,12,25.47,22.66,20.64
Pumpkin,6,14.98,13.03,11.93
Tomato,11,57.87,55.79,54.92
Pumpkin,1,35.58,33.02,32.22
Brinjal,12,35.56,38.81,40.17
Ginger,10,178.69,176.93,176.29
Brinjal,8,36.53,43.58,45.85
Brinjal,5,59.28,70.46,74.88
Brinjal,10,26.57,24.61,23.86
Garlic,12,125.28,141.08,149.96
BitterGourd,5,55.53,61.9,64.89
BitterGourd,11,35.8,42.14,46.98
Ginger,12,115.49,102.91,94.93
Cucumber,5,21.01,24.88,26.47
Pumpkin,1,33.94,36.64,38.03
Pumpkin,9,32.1,36.54,39.59
Brinjal,7,29.24,30.15,30.53
Ginger,4,107.06,94.38,89.2
Rice,10,62.64,72.02,75.56
Pumpkin,11,64.88,66.47,67.36
Pumpkin,2,16.81,18.69,19.52
Cauliflower,1,47.4,48.42,48.86
GreenChilli,7,105.58,120.04,129.8
Tomato,1,28.84,30.07,30.45
Ginger,5,180.43,189.02,194.63
Tomato,8,39.67,42.01,43.13
Tomato,5,76.95,80.93,83.83
Rice,3,66.11,72.31,75.94
Cucumber,1,27.58,24.98,23.4
Cauliflower,11,87.82,101.63,108.79
Okra,4,60.88,54.02,49.44
Beans,1,65.41,76.22,79.84
Beans,8,41.66,39.17,37.38
Carrot,12,60.27,52.21,49.45
Cabbage,8,27.98,25.74,24.42
Garlic,9,233.12,261.8,276.37
BitterGourd,8,34.51,40.4,43.15
Pumpkin,3,42.48,42.84,43.01
Carrot,11,36.26,43.15,45.42
Cucumber,3,39.73,35.41,32.45
Cabbage,12,15.05,16.01,16.42
GreenChilli,6,71.56,66.97,64.88
BitterGourd,6,33.28,31.43,30.47
Potato,2,9.9,8.51,7.5
Beans,5,93.88,83.89,78.07
Tomato,12,85.53,88.35,89.54
Potato,2,12.19,13.87,14.49
Carrot,9,41.4,41.22,41.15
Onion,11,58.34,57.58,57.19
Ginger,9,86.38,97.43,104.87
Beans,4,54.03,61.46,65.49
Cucumber,1,35.0,29.91,26.07
Pumpkin,4,33.09,33.16,33.2
Cabbage,7,26.39,30.27,33.03
BitterGourd,2,49.52,56.39,59.86
Cucumber,10,15.62,15.97,16.14
Cucumber,10,24.18,28.81,30.69
Carrot,9,57.21,61.75,64.18
Tomato,11,84.38,85.62,86.33
Garlic,4,132.12,154.68,170.27
Brinjal,9,49.59,47.83,46.68
Carrot,5,52.67,54.82,56.34
Brinjal,9,26.37,24.47,23.71
Cauliflower,4,26.78,31.53,33.04
GreenChilli,2,30.56,31.11,31.55
Brinjal,11,54.0,60.94,63.6
Cucumber,6,9.27,11.05,12.08
Brinjal,8,40.03,35.33,32.98
Cucumber,1,25.05,22.47,20.69
Potato,7,22.73,19.8,18.58
Beans,3,72.43,84.74,92.25
BitterGourd,2,97.74,103.63,105.48
Okra,5,75.27,64.51,61.11
Rice,7,38.1,42.68,46.13
GreenChilli,7,89.69,105.71,117.16
BitterGourd,9,70.3,76.22,78.6
Ginger,6,113.33,115.43,116.73
Rice,3,35.2,34.37,33.74
Okra,6,28.14,29.26,30.05
Rice,10,98.56,118.2,130.66
Cucumber,12,37.99,39.45,40.54
Potato,6,8.05,7.43,7.12
Carrot,12,47.44,46.85,46.46
Cucumber,5,25.98,27.4,27.85
Onion,4,22.61,19.91,18.32
Garlic,9,116.9,110.77,108.63
Cauliflower,5,56.79,57.18,57.47
Carrot,2,69.53,68.49,68.04
Ginger,9,53.16,61.99,67.9
Pumpkin,5,15.23,16.7,17.62
Carrot,6,26.5,26.44,26.41
Cabbage,7,15.4,15.27,15.19
Cauliflower,10,47.44,48.28,48.69
Cucumber,4,38.3,42.82,44.56
Potato,2,36.25,38.59,40.09
Onion,5,28.56,29.7,30.32
Potato,6,13.51,11.88,11.04
Cucumber,11,18.68,21.83,23.98
Cabbage,9,21.47,21.49,21.5
Rice,6,72.82,63.45,60.47
Beans,6,33.56,36.8,38.22
Carrot,8,54.71,47.22,43.31
Beans,9,70.28,59.75,51.83
Okra,3,45.16,38.49,34.77
Okra,9,60.66,68.73,73.48
Beans,10,57.39,62.3,64.44
Garlic,2,213.1,190.07,176.41
Carrot,6,57.26,58.36,58.92
Carrot,7,56.66,64.03,69.65
Brinjal,6,39.57,38.03,37.36
Potato,8,10.65,11.67,12.37
Cauliflower,10,73.33,79.59,84.54
Cabbage,5,18.19,20.75,21.69
BitterGourd,4,40.1,43.02,44.09
Cucumber,7,28.9,29.92,30.47
Cauliflower,7,48.7,42.42,39.27
Onion,3,26.16,24.01,23.21
Carrot,10,37.53,42.31,45.96
Onion,10,18.5,20.65,21.67
Beans,6,54.32,60.89,65.53
Carrot,12,64.75,63.88,63.44
Brinjal,5,57.51,59.09,60.1
BitterGourd,6,54.63,62.61,66.11
Beans,11,59.62,62.65,63.66
Cauliflower,2,28.95,24.64,22.57
Garlic,3,154.51,161.0,163.78
Cucumber,3,16.72,15.36,14.8
Brinjal,10,61.34,61.59,61.77
Carrot,11,73.9,87.14,96.26
GreenChilli,8,37.84,42.37,44.01
Okra,12,65.2,67.74,69.42
Tomato,7,31.09,31.09,31.09
Pumpkin,9,49.31,49.74,49.92
GreenChilli,6,50.66,45.87,43.18
Cauliflower,8,27.16,29.18,30.07
Cabbage,3,38.44,43.13,45.94
Potato,2,21.02,18.57,17.74
Pumpkin,9,16.33,17.19,17.8
Cucumber,9,11.34,10.3,9.6
GreenChilli,2,82.27,86.24,88.03
Rice,12,52.26,47.12,43.2
Ginger,4,91.26,95.79,97.41
Okra,3,48.86,46.96,45.56
Rice,5,41.62,42.21,42.39
Okra,2,73.53,87.21,97.75
Beans,6,64.85,69.57,73.02
Brinjal,10,75.28,69.18,66.47
Cucumber,1,24.94,27.27,28.11
Beans,4,45.04,45.27,45.41
Tomato,11,34.77,38.59,41.51
Pumpkin,12,29.2,32.82,34.15
Cucumber,11,22.62,21.24,20.8
Rice,1,86.74,101.5,111.84
Cucumber,1,32.21,37.62,41.72
Tomato,1,75.44,66.39,59.21
Brinjal,11,35.06,33.47,32.31
Tomato,2,34.47,38.35,39.91
GreenChilli,9,113.17,132.3,143.89
GreenChilli,12,49.99,45.31,42.51
Okra,2,67.98,59.64,56.48
Beans,9,86.62,95.28,100.87
Okra,10,37.14,34.01,31.9
Okra,1,34.29,40.67,45.56
Beans,11,65.05,56.18,51.41
Cauliflower,3,58.62,50.05,44.45
GreenChilli,9,112.55,127.32,136.48
Beans,2,60.0,66.86,70.41
Ginger,5,194.96,168.84,154.35
Rice,1,86.26,92.2,94.91
Potato,12,15.26,15.57,15.74
Tomato,5,46.65,50.09,51.59
Beans,7,44.54,51.01,53.85
Okra,6,44.49,51.52,56.83
GreenChilli,4,133.28,142.0,147.15
Cabbage,5,14.95,16.85,17.88
Beans,9,75.22,65.43,59.71
BitterGourd,11,83.37,85.6,86.86
GreenChilli,9,68.82,76.87,79.5
Onion,3,22.01,25.03,26.27
Onion,11,50.88,50.12,49.53
BitterGourd,9,83.68,93.45,96.68
BitterGourd,4,81.41,81.11,80.9
BitterGourd,4,83.84,78.34,76.53
Tomato,11,38.2,38.04,37.95
Cauliflower,11,50.07,54.0,56.51
Cauliflower,5,58.52,68.87,76.92
Rice,9,87.57,90.85,92.48
Potato,11,20.57,22.01,22.63
GreenChilli,12,38.49,32.78,30.2
Okra,5,55.39,59.38,62.16
Tomato,2,34.47,38.97,41.75
BitterGourd,8,31.97,28.46,27.21
Onion,7,31.07,26.85,24.67
BitterGourd,3,94.26,91.22,88.84
Carrot,12,26.14,24.2,23.22
Cucumber,2,30.27,32.57,33.44
Onion,1,31.43,36.46,40.09
Cucumber,3,27.57,32.49,35.45
Pumpkin,12,38.92,44.26,48.48
Tomato,1,55.34,66.31,72.73
Carrot,7,23.97,22.3,21.12
Cauliflower,5,54.6,48.22,43.72
Pumpkin,8,32.42,32.86,33.0
Rice,2,62.02,53.11,49.04
Okra,7,45.72,39.99,35.52
Pumpkin,1,48.3,49.06,49.54
Carrot,2,54.62,55.04,55.28
Tomato,6,50.04,51.57,52.16
Potato,3,11.26,11.21,11.17
Cucumber,7,27.72,25.15,24.25
Pumpkin,10,41.97,43.21,44.12
Brinjal,3,34.71,36.82,38.38
Garlic,10,150.84,155.55,158.27
Cucumber,10,46.47,54.72,59.79
Rice,11,58.03,57.14,56.48
BitterGourd,3,50.8,54.95,57.16
Potato,4,15.38,13.25,12.22
Garlic,10,240.3,267.08,281.54
Cucumber,10,53.9,57.08,58.87
Beans,4,70.37,78.64,83.89
GreenChilli,12,98.14,102.09,103.71
Ginger,1,75.09,69.25,66.14
Cucumber,2,11.65,13.29,14.35
Okra,3,33.35,36.89,38.4
GreenChilli,2,147.25,143.31,141.06
Carrot,2,52.92,50.44,48.56
Cauliflower,8,40.69,36.97,34.58
GreenChilli,2,67.7,65.28,64.45
Cauliflower,12,34.5,30.02,26.44
BitterGourd,4,59.63,62.6,64.32
Cabbage,10,16.46,19.43,21.08
Rice,2,49.31,54.88,57.21
Cucumber,5,39.75,38.37,37.53
Okra,7,29.6,25.47,22.39
BitterGourd,3,31.66,36.0,37.78
Ginger,1,112.68,113.28,113.49
Ginger,10,249.57,243.74,239.66
Carrot,6,44.53,52.17,57.59
Rice,11,103.07,106.36,107.44
Potato,7,20.37,18.77,18.06
Onion,1,44.33,49.73,53.31
Tomato,7,19.58,16.98,15.56
Ginger,3,90.99,92.47,92.95
BitterGourd,6,62.1,55.3,52.14
Garlic,6,180.06,184.06,185.33
Carrot,6,21.69,21.56,21.5
Ginger,6,119.11,109.01,104.15
Brinjal,7,44.62,38.44,34.59
Cauliflower,7,46.47,55.55,59.89
Okra,2,46.52,48.48,49.7
Carrot,8,48.87,49.36,49.56
Garlic,10,255.24,267.66,271.41
Carrot,5,50.06,56.44,58.59
Onion,12,21.47,19.79,18.81
Brinjal,9,16.23,14.96,14.22
Okra,8,44.95,46.47,47.14
Garlic,10,135.09,138.92,141.79
Cucumber,9,38.33,43.58,47.33
GreenChilli,6,110.2,95.5,88.83
Cucumber,2,21.83,22.04,22.21
Okra,11,42.29,49.68,54.88
Brinjal,6,21.49,25.75,27.23
Cauliflower,12,61.18,65.62,67.5
Pumpkin,6,18.61,19.97,20.79
Carrot,10,94.2,98.19,101.14
Carrot,10,79.24,85.89,89.97
Brinjal,7,15.86,15.16,14.87
Cucumber,8,23.7,26.56,28.58
Cucumber,8,22.56,26.05,27.41
Cauliflower,3,54.93,57.23,58.2
Tomato,10,63.02,74.72,81.11
GreenChilli,5,137.51,122.67,114.17
Rice,1,79.76,76.43,74.29
Carrot,6,37.72,42.04,44.67
Cabbage,4,32.25,27.47,25.5
Brinjal,1,56.97,52.24,48.94
BitterGourd,3,85.7,101.58,110.33
Cabbage,11,23.25,26.78,28.81
Okra,3,65.11,75.65,83.77
Ginger,3,161.9,179.03,187.99
Tomato,2,38.99,44.32,48.12
Tomato,10,55.32,51.45,49.46
Cabbage,12,37.03,42.76,44.98
Rice,1,60.2,56.16,53.43
Onion,6,43.13,38.13,36.62
Rice,1,34.42,39.9,43.03
Cucumber,12,34.79,40.0,42.89
Cauliflower,11,71.4,61.18,54.21
Rice,4,83.39,83.65,83.82
Garlic,1,207.68,221.7,229.2
Cabbage,4,16.15,14.91,14.2
Cucumber,4,15.19,13.38,12.19
BitterGourd,12,55.02,60.68,63.14
Carrot,9,62.85,54.1,50.05
Rice,8,68.94,77.69,80.4
Cauliflower,10,34.94,35.18,35.26
Cauliflower,7,48.98,52.76,55.07
Carrot,11,24.34,22.57,21.99
Brinjal,6,42.64,50.73,54.37
Brinjal,2,18.4,18.37,18.36
Okra,2,79.83,68.55,63.13
Brinjal,7,25.34,28.72,30.03
Rice,7,40.55,35.14,32.82
Cucumber,4,37.67,44.37,48.71
GreenChilli,1,67.39,63.26,61.03
Beans,11,102.92,90.55,86.68
Brinjal,9,16.76,15.42,14.67
GreenChilli,6,44.19,47.45,48.8
Tomato,7,40.35,42.94,44.67
GreenChilli,12,54.98,64.07,69.25
Beans,4,68.45,64.65,62.67
BitterGourd,1,53.55,47.89,45.73
Ginger,4,130.77,137.08,139.91
Beans,7,30.02,32.68,34.25
GreenChilli,3,42.6,39.05,36.86
Cabbage,3,29.12,31.3,32.92
BitterGourd,2,83.26,91.45,97.34
Cauliflower,12,86.23,89.57,91.35
Onion,12,30.58,28.9,27.6
Pumpkin,11,50.34,52.11,53.05
Cauliflower,3,59.58,52.69,47.79
Cucumber,6,23.6,28.21,29.69
Tomato,10,32.56,38.09,42.08
Garlic,9,126.05,141.08,152.51
BitterGourd,11,110.17,104.64,101.39
Onion,7,29.92,27.64,26.44
Okra,9,49.51,45.31,42.84
Tomato,3,36.18,32.76,30.83
Cabbage,3,21.43,21.37,21.35
GreenChilli,6,33.71,33.46,33.31
GreenChilli,5,122.83,115.63,110.4
Cucumber,12,25.54,21.94,20.83
Tomato,2,52.31,60.75,63.96
Beans,7,50.38,48.52,47.39
Brinjal,5,31.75,28.63,27.28
Cauliflower,9,61.97,72.52,76.86
Brinjal,12,38.11,34.53,31.84
Carrot,7,43.6,49.67,52.53
BitterGourd,2,58.12,50.53,44.61
Brinjal,11,68.3,81.86,88.09
GreenChilli,12,50.79,58.62,62.24
BitterGourd,8,71.97,73.55,74.24
Rice,2,42.62,39.75,38.81
Potato,11,13.31,13.0,12.77
Cucumber,7,19.91,19.28,18.87
Cabbage,7,9.71,9.24,9.0
GreenChilli,11,169.4,158.6,151.18
Cabbage,4,33.9,40.59,45.07
Beans,6,63.43,69.7,72.95
Beans,3,36.18,30.88,27.61
Okra,12,56.76,63.25,67.46
Beans,11,97.23,115.36,126.53
Cucumber,11,39.93,42.0,42.83
Carrot,2,25.32,29.8,31.58
Cucumber,12,37.36,43.8,47.95
Cauliflower,3,65.27,59.44,56.31
Okra,9,24.83,22.81,21.28
Cabbage,7,31.09,29.76,28.77
Cabbage,6,24.71,21.22,19.96
Beans,11,37.33,36.61,36.32
BitterGourd,7,58.14,60.06,61.07
Okra,3,46.01,45.99,45.98
Cauliflower,2,29.01,28.71,28.54
Pumpkin,10,35.06,40.75,44.75
Ginger,3,193.66,225.48,244.97
Ginger,10,190.75,210.13,216.07
Okra,10,51.99,48.42,46.47
BitterGourd,9,37.18,41.58,43.87
Cauliflower,3,55.6,53.4,52.71
Onion,4,41.88,37.18,35.26
Ginger,3,76.12,78.94,81.09
Potato,3,22.46,21.87,21.61
GreenChilli,8,58.27,68.45,75.63
Cucumber,11,27.52,26.75,26.49
Garlic,8,112.9,111.62,110.97
Potato,9,32.26,35.02,36.44
Cabbage,6,40.88,35.52,33.58
Onion,7,9.0,8.9,8.86
BitterGourd,5,68.05,67.16,66.87
GreenChilli,11,83.39,79.43,77.22
Rice,8,70.88,61.29,57.11
Tomato,11,56.0,64.1,67.49
Carrot,6,28.51,24.43,22.01
Ginger,6,51.77,55.29,57.4
BitterGourd,5,91.23,102.6,109.78
Tomato,12,78.88,69.34,63.9
Garlic,5,112.79,134.65,145.44
Brinjal,8,24.52,21.79,19.64
Brinjal,7,17.56,18.17,18.48
Okra,1,56.29,66.2,70.25
Garlic,1,111.38,123.35,131.45
Brinjal,8,28.26,27.4,27.06
Carrot,2,67.26,64.81,62.95
Brinjal,12,38.64,37.96,37.71
Cauliflower,12,48.15,46.17,45.26
Rice,12,92.28,79.21,75.26
Ginger,8,96.26,94.09,92.81
Pumpkin,7,38.96,39.99,40.68
Onion,4,19.67,20.36,20.74
Cabbage,6,8.58,8.75,8.88
Ginger,8,87.63,79.91,75.94
Beans,8,76.13,90.57,96.94
Brinjal,8,13.17,13.38,13.45
Potato,7,21.02,24.76,26.07
Pumpkin,8,13.53,14.18,14.68
Tomato,1,68.37,66.58,65.59
Onion,6,44.94,41.99,40.13
Cabbage,3,38.69,35.28,33.24
Onion,2,25.69,23.41,21.59
Garlic,5,180.32,199.64,207.68
Okra,2,56.44,65.01,70.02
Beans,11,106.54,123.93,133.2
Ginger,2,196.05,175.22,160.93
Tomato,11,29.88,29.86,29.85
Potato,6,16.42,19.09,20.81
Rice,1,45.11,50.7,54.36
BitterGourd,2,31.45,27.11,25.19
Brinjal,11,38.73,40.06,40.95
Cauliflower,11,49.34,55.35,58.38
Cauliflower,8,21.08,23.29,24.93
Tomato,9,48.8,53.59,55.34
Carrot,10,40.9,43.83,45.01
BitterGourd,9,51.83,51.4,51.12
Onion,6,34.39,39.89,43.61
Cabbage,7,17.15,20.19,21.6
Cabbage,5,42.73,48.19,51.35
Brinjal,1,51.99,53.81,54.39
GreenChilli,2,107.23,114.82,119.26
Cabbage,6,40.7,45.3,47.91
Rice,8,56.89,63.63,67.3
Potato,6,25.97,25.21,24.62
Ginger,4,98.12,103.63,105.62
Cucumber,11,24.19,22.16,20.6
Rice,7,58.98,53.65,51.59
Okra,1,24.4,22.42,21.13
Cabbage,9,13.02,14.34,15.36
Ginger,3,119.29,140.15,154.09
Potato,11,43.82,49.62,53.49
Potato,2,13.07,13.56,13.71
Rice,10,50.45,47.14,44.62
Beans,5,58.0,65.62,70.02
Okra,9,37.87,35.87,34.31
Cauliflower,2,61.41,72.5,79.34
Pumpkin,5,29.98,32.97,35.2
Onion,8,28.91,30.25,31.27
Carrot,12,61.7,58.3,55.76
Pumpkin,7,18.31,18.88,19.3
Pumpkin,10,53.12,61.09,67.32
Okra,4,70.09,62.8,59.17
Cucumber,3,33.55,32.63,32.16
Tomato,7,14.7,16.81,17.59
Okra,5,45.87,47.46,48.31
Beans,10,88.17,95.03,100.49
Brinjal,5,47.82,49.99,51.71
Okra,3,46.37,54.24,58.68
Onion,1,47.69,45.4,43.65
BitterGourd,4,53.11,49.63,47.08
Brinjal,7,46.41,53.68,56.35
Potato,4,22.8,22.68,22.64
Rice,6,64.47,65.72,66.46
BitterGourd,11,129.65,146.33,154.26
GreenChilli,1,88.99,101.39,105.77
Ginger,11,106.85,97.52,93.79
GreenChilli,12,83.15,83.18,83.19
Onion,8,8.4,9.32,9.66
Carrot,9,62.54,67.17,68.74
Brinjal,3,41.44,48.18,52.52
Brinjal,9,52.29,52.12,52.0
GreenChilli,10,53.22,55.99,57.15
BitterGourd,8,82.47,91.77,98.28
BitterGourd,10,42.38,36.06,31.96
Pumpkin,5,43.22,50.34,54.89
Garlic,1,236.54,216.8,206.14
Okra,12,70.09,77.69,83.36
Tomato,1,17.1,15.74,15.32
Pumpkin,12,28.91,29.7,30.14
Brinjal,1,30.01,26.39,24.66
Carrot,6,30.67,36.56,39.31
Potato,1,39.41,36.88,34.94
Beans,11,37.44,44.53,48.42
Okra,8,60.64,71.62,75.52
Ginger,9,142.42,139.83,138.43
Ginger,8,150.99,142.59,137.74
Ginger,10,135.21,148.24,157.57
Potato,9,25.01,24.6,24.34
Okra,7,37.21,36.0,35.26
Rice,4,63.54,55.36,51.51
Ginger,1,92.66,90.69,89.85
Brinjal,3,37.12,37.73,38.21
Carrot,8,36.86,42.04,43.64
Okra,1,57.51,57.84,58.03
GreenChilli,3,54.41,65.25,71.79
Onion,8,9.56,8.75,8.25
Rice,3,36.47,43.71,48.55
Ginger,7,135.31,152.5,163.08
Pumpkin,4,30.74,35.33,38.08
Onion,6,15.05,16.89,18.29
Garlic,1,205.23,183.19,175.43
Potato,5,31.3,30.29,29.77
Okra,1,77.14,91.07,98.68
BitterGourd,6,74.57,81.83,84.84
Pumpkin,8,27.32,23.34,21.98
GreenChilli,7,96.87,104.1,107.9
Cucumber,8,16.35,17.73,18.25
Brinjal,12,68.71,79.79,88.38
GreenChilli,8,107.25,110.45,111.74
Carrot,10,28.5,34.04,35.75
Cucumber,4,39.83,36.67,34.43
Ginger,2,129.58,137.11,140.84
Carrot,2,60.91,56.38,54.0
Brinjal,4,49.62,47.58,46.42
Cucumber,10,31.08,30.65,30.46
Pumpkin,11,43.78,49.54,52.46
Cauliflower,7,45.0,43.22,42.37
Pumpkin,1,22.95,20.57,19.11
Garlic,2,137.38,159.63,174.86
Brinjal,11,46.48,49.91,51.23
Brinjal,5,43.82,43.37,43.13
Pumpkin,12,53.8,49.87,48.22
Garlic,9,247.54,291.25,322.28
Cabbage,5,42.97,44.77,45.37
Okra,7,54.44,60.25,62.42
Cabbage,12,23.86,24.61,25.18
Beans,11,33.77,34.42,34.67
GreenChilli,5,86.24,99.32,104.65
Beans,5,44.09,50.58,54.25
Cabbage,6,22.01,20.64,20.01
GreenChilli,2,83.22,78.56,77.01
Cauliflower,9,22.94,23.19,23.34
Onion,5,22.16,20.61,19.5
Pumpkin,2,16.98,17.68,18.09
Brinjal,12,45.96,49.23,50.67
Onion,5,22.97,21.97,21.36
Ginger,7,107.54,126.58,139.77
Okra,12,33.25,39.72,42.1
Cauliflower,5,52.31,46.23,43.13
Ginger,10,78.31,82.26,84.78
Onion,5,16.42,16.8,17.07
Beans,6,23.56,27.18,28.72
Carrot,1,43.97,46.92,48.93
Garlic,4,201.52,202.93,203.65
Cucumber,10,29.51,34.6,38.08
Ginger,10,102.04,92.86,88.86
Carrot,3,25.97,24.81,23.9
Okra,12,91.95,84.03,80.48
Okra,7,51.91,46.01,41.32
Rice,7,23.81,23.84,23.86
Brinjal,3,22.73,22.4,22.17
Cauliflower,11,39.24,43.87,46.12
Rice,9,43.2,37.15,32.35
Pumpkin,8,35.74,38.51,39.87
Rice,7,28.32,27.23,26.38
BitterGourd,2,69.09,74.18,75.94
GreenChilli,9,41.18,40.86,40.64
Onion,5,30.07,30.64,30.85
Carrot,12,28.74,33.76,36.8
Brinjal,3,53.1,55.27,56.4
Rice,11,70.79,74.84,77.16
Ginger,11,130.97,147.41,153.24
Onion,12,36.76,35.56,34.86
Rice,12,79.58,82.33,83.41
Tomato,7,60.53,70.49,75.87
Brinjal,10,48.03,48.54,48.93
Rice,3,71.19,62.9,58.69
Ginger,1,66.6,66.88,67.05
Tomato,7,56.11,48.71,42.91
GreenChilli,1,96.74,83.15,75.58
Rice,2,62.51,64.22,65.19
Potato,8,14.63,12.64,11.23
Pumpkin,3,29.74,32.93,34.67
Brinjal,7,48.58,42.51,39.41
Okra,5,71.37,67.63,65.94
Pumpkin,12,60.12,52.83,48.48
Cabbage,6,25.48,30.0,32.45
Okra,2,50.22,49.33,48.67
Cucumber,8,14.22,16.52,17.7
Pumpkin,10,31.86,28.55,26.59
Potato,3,14.43,16.44,17.53
Potato,7,11.1,12.44,12.86
Potato,1,14.97,16.07,16.75
Rice,1,44.36,52.38,55.66
Tomato,1,21.63,20.83,20.29
BitterGourd,10,35.55,37.77,39.26
Cauliflower,9,58.7,69.09,74.63
GreenChilli,12,147.94,167.01,173.38
Potato,5,31.15,33.74,35.7
Brinjal,8,18.71,21.77,23.02
Cucumber,1,21.93,23.14,23.94
Potato,7,8.21,8.64,8.95
Onion,3,34.33,30.1,28.27
Onion,2,48.67,48.92,49.05
Okra,11,43.43,52.02,55.23
Potato,7,27.16,26.7,26.36
Okra,11,63.97,64.77,65.06
Onion,7,15.89,17.59,18.3
Ginger,7,107.24,96.44,93.01
Garlic,6,101.87,115.97,126.21
Brinjal,6,16.51,17.62,18.22
Pumpkin,11,21.65,19.14,17.15
BitterGourd,8,35.54,32.31,30.82
Carrot,1,59.27,53.73,49.91
Ginger,5,156.6,139.78,128.76
Cabbage,9,35.71,42.09,45.24
Tomato,4,39.32,46.34,49.0
Beans,2,78.05,69.2,63.78
Okra,6,38.83,39.75,40.19
Rice,11,105.34,126.16,141.73
Garlic,5,233.35,207.74,196.46
Okra,5,47.46,47.26,47.18
GreenChilli,1,119.27,135.93,141.03
Potato,7,23.85,20.95,19.75
Garlic,7,79.69,75.78,72.8
Pumpkin,8,34.89,30.32,27.28
BitterGourd,3,51.54,48.3,46.6
Cucumber,7,11.05,10.9,10.78
Cauliflower,11,92.31,107.29,116.81
Garlic,7,86.75,96.88,100.98
Pumpkin,1,37.53,40.0,41.29
Ginger,4,117.18,99.82,88.77
Rice,7,64.58,55.89,50.01
Pumpkin,4,15.42,15.07,14.93
GreenChilli,2,81.31,73.36,69.94
Rice,10,58.45,67.57,72.59
Garlic,4,82.14,73.64,69.55
